,attribution,count
leftist,0.12956900107593594,5
Obamacare,0.027668382766812757,3
willing,0.01696268107435577,1
compliant,0.017347730444820006,2
impose,0.012840518417557937,1
outright,0.10093490083972306,1
constantly,0.09357399822988922,1
obnoxious,0.09264743947867993,1
At,-0.08641965717105309,2
mind,0.03337020244682497,2
should,0.044980856074081164,3
acceptable,0.008461171068054897,1
gobble,0.05503647946854097,1
engagement,-0.04749271217881334,1
creates,-0.029417129528087605,1
unconstitutional,0.057080456145527675,1
driven,-0.06643967213311054,2
Lawmakers,0.043598661584634366,1
existence,0.041655605763944045,1
trans,0.019814558992559312,1
socialist,0.13226395431010368,1
wokesters,0.07796051152498129,1
millionaire,0.0678139651742423,1
misuse,0.03195051991819728,1
tax,-0.027292974980433943,3
lunatic,0.037822406632897126,1
tunnel,0.01842170583758302,1
predilection,0.018079895062293565,1
Johnson,0.01663805259848798,1
extremist,0.03136694792996917,2
wing,0.050184410425868485,6
ex,0.007455958544267851,1
rampant,0.2406603922882369,1
month,-0.08577377045575144,2
bias,0.0770603904116694,2
due,-0.09495171440767675,2
messy,0.48915328877748526,1
Eagle,0.13036279318673338,1
Wichita,0.11562635807039148,1
interview,0.07294948402460447,1
sandbag,0.2164642071281425,1
we,0.028579349729955884,2
elect,0.04662684919488452,1
ve,0.0382640816968693,1
cradle,0.007542401829612467,1
argument,0.0065434869328068026,1
salve,0.00584079572162474,1
political,0.07035823099580304,2
comparison,-0.07117774674612429,1
presidential,-0.0640609301833232,1
election,0.04928400043274371,2
blame,-0.006183955598728687,3
note,-0.19775909200795816,2
against,-0.05392546802690017,5
Honduran,-0.10281360831224096,1
North,-0.050658684351327025,1
disgust,0.1746960145286968,2
universe,0.18927444983353017,1
kumbayaing,0.09813690677630137,1
For,0.07831462249225282,1
liberal,0.04161954738884056,5
amount,-0.05347527690180333,2
continue,0.08590699734014093,1
ripped,0.261896168505318,2
correspondent,-0.11879826208558263,1
John,-0.09658560104333014,1
bastard,0.32161457303072033,1
immure,0.06595915287474528,1
Shared,-0.06436331464151221,1
Fantasy,-0.02887068083220383,1
backbiting,0.13036013574190436,1
insane,0.09031168852531873,1
read,0.03897968853112378,1
at,-0.012786176777094663,4
repugnant,0.01934476301749485,1
decision,0.015604076103745769,1
risky,0.01519836181494788,1
R,-0.16006937744486555,1
Internet,0.1485723161805355,1
lash,0.14531546550930055,1
Rep,0.07975292255103442,1
out,-0.06997725793392473,3
ignorance,0.17629563574671184,1
utter,0.1300517393746901,1
Instead,0.03426129770351743,1
medium,0.03610567320057062,4
want,0.039701139108542546,4
mistaken,0.12050166492441582,1
Warren,-0.03209879542212365,1
nasty,0.06993524121715708,2
controversy,-0.05011637379265329,1
fan,0.028530770516943388,1
The,-0.050563658325626266,9
coddle,0.03931034245341248,1
these,0.0325590810713395,2
yes,0.004364929032038401,2
Democrats,0.050617312188358604,8
become,-0.11830947353702709,2
scourge,0.08149396760276019,1
about,-0.03609031703999709,6
amid,-0.10872862890158372,2
thinly,0.084607699126604,1
fear,0.0547137669651164,2
idea,0.03371294116616562,5
operating,0.030508766698318594,1
Kamala,-0.02667953503358806,1
agitation,0.0467004192893043,1
by,-0.053034291866190394,10
bounty,0.13164940117238508,1
transphobic,0.10839830372571675,1
design,0.03493243507397711,2
shovel,0.038630314271925065,1
monster,0.06681730997068727,2
eliminate,0.10796340713349348,1
jumped,0.09364635188926025,1
thing,0.046237361976241065,2
passionately,0.22191610953720972,1
benefit,0.07832279064580504,3
spoke,-0.10471407226218375,1
arrogant,0.02679562719813862,1
blatant,0.025192354899820957,1
insouciance,0.02039520888126072,1
corrupt,0.04483315377794885,3
Trumpian,0.01504280653275139,1
do,-0.11333143561803086,2
specter,0.07720514324788476,1
judge,-0.05539480893105446,1
or,-0.01549790809075827,4
include,-0.11840482379302152,4
gender,0.1546081502183546,1
part,-0.13194470825058865,1
he,0.042192703809591246,5
bizarre,0.11916638520754907,5
advocate,0.017617148250629086,1
appease,0.01711235272241916,1
Violence,-0.14347578728483612,1
brazen,0.11162537891805861,1
gut,0.10247074353504744,3
plot,0.07166518231825571,1
idiotic,0.015724672503742508,1
down,-0.03242508836979018,4
blue,0.08600329022275514,2
ideal,0.07370276793029075,1
Georgia,0.06461558499177307,1
shot,0.05094600597662383,3
state,-0.05223876892600077,5
mainstream,0.06685733383708263,3
scientist,0.0650685231429976,1
accept,-0.052855886116966844,1
jail,0.03371580099935935,1
Oops,0.1474071682692023,1
embarrass,0.09203817486549438,1
goober,0.0863701192359964,1
Rick,0.05824328200939976,1
Harking,0.049081833459067754,1
fume,0.3991032500059555,1
tell,-0.18356355858715034,3
focus,-0.08137407596787008,2
Matter,-0.040006221641029356,2
CA,-0.06611941088799762,1
fascist,0.11483760635723794,2
foe,0.04917155171464385,1
Maximus,-0.02917594788062593,1
particularly,-0.24855662764110809,1
clashed,-0.11261674390102086,1
across,-0.07611600218072864,3
before,-0.03248737884531327,3
demonstrator,-0.0941200134764106,1
scoff,0.3330214789993257,1
Psychosis,0.11685838360496904,1
refuse,0.06491311925421034,2
measure,0.08041375109689743,1
America,0.07086333881761643,4
devolve,-0.07669356891028115,1
woke,0.19481098363509475,2
their,0.04231142981262596,7
And,0.09486172287103435,1
matter,0.10045533920492453,2
bow,0.24691368305161615,1
candidate,-0.07230895533662443,1
attack,0.04404874952274545,6
aggressive,0.1917874758791229,1
startle,0.17628947059801728,1
sent,-0.07321957591284187,1
than,-0.02719561785234759,4
Biden,0.008201821585862508,6
racy,0.1932758397056455,1
thong,0.1467075350766265,1
calendar,0.10201074648176019,1
herself,0.08037220884800537,1
photo,0.0705695615775775,1
overlook,-0.038425368992954484,1
Just,0.12176024317845016,2
infant,0.07977640007465553,1
trauma,-0.056162121749248686,1
why,-0.0483957505924098,3
place,-0.03585708611693729,2
complication,-0.1208194522856509,1
flee,-0.19583424663590507,1
group,-0.18485440736883496,3
ISIS,0.09236920529356467,1
rudderless,0.19288287250043412,1
described,-0.08881040798339104,1
misinformation,0.06080964816998721,2
Post,-0.05269335322535129,1
dodge,0.25462466873106826,2
universally,0.14812507465694438,1
actually,0.060682540285512857,2
where,-0.09796775673826197,1
vow,-0.11824586022700916,1
regime,0.01663878748628144,2
stingy,0.011281744748914508,1
boundary,-0.05029564178714021,1
office,0.048040984467622214,1
progressive,0.046684807206643864,1
tank,0.04344898079436011,1
traditional,-0.026716160918272076,1
government,0.05282786630119268,2
usurp,0.06567950470482022,1
get,0.06643151902055183,4
virus,0.0259756979827274,2
White,0.06493587225721244,2
Act,-0.044674189851434676,1
stark,0.13440816544410653,1
arrest,-0.11502964291856199,1
give,-0.06658008023889685,2
reaffirms,0.007169950097235279,1
moron,0.006496318931292339,1
sends,0.0053933931163340715,1
crony,0.12443027341884304,1
Factual,0.04781864265316468,1
forth,0.040099188567569395,1
merge,0.14714412191868312,1
represent,-0.10362357734502911,1
vocal,0.07988667613259705,1
Stuffed,0.21287726738825968,1
Pelosi,0.12776297778440546,3
400,0.110761214636805,1
Bill,0.07815743340282301,1
Nancy,-0.038416097890550935,1
You,0.03455806520099685,1
die,-0.0012959532221984947,2
food,0.028903646453473014,1
frenzy,0.24269083828686894,1
Crazytown,0.1132716036599457,1
democracy,0.08068943093674369,1
hipster,0.20925056572691667,1
example,0.07385653256463158,3
Here,0.06952204998832391,1
